Price,Number of rooms,Living Area,Terrace,Area of the terrace,Garden,Area of the garden,Surface area of the plot of land,Number of facades,zipcode
800.0,2.0,80.0,True,28.0,False,0.0,227.0,2.0,4800
1150.0,3.0,185.0,True,100.0,False,0.0,224.0,3.0,1745
1060.0,3.0,185.0,False,0.0,False,0.0,109.0,2.0,9840
800.0,3.0,149.0,True,16.0,False,0.0,191.0,2.0,8560
1400.0,3.0,120.0,True,20.0,True,100.0,220.0,2.0,1970
3500.0,3.0,253.0,True,60.0,False,0.0,1900.0,3.0,1380
3500.0,5.0,326.0,True,10.0,True,70.0,180.0,2.0,1180
1200.0,3.0,168.0,True,26.0,True,142.0,313.0,2.0,2460
1850.0,3.0,150.0,True,18.0,True,300.0,400.0,4.0,1933
2100.0,5.0,235.0,True,22.0,True,225.0,650.0,4.0,3078
1100.0,3.0,145.0,True,10.0,True,93.0,166.0,2.0,2880
2100.0,3.0,132.0,True,15.0,True,1000.0,11.0,3.0,1180
790.0,2.0,100.0,True,40.0,False,0.0,105.0,2.0,4051
1750.0,3.0,165.0,True,30.0,False,0.0,1290.0,4.0,1602
910.0,3.0,145.0,False,0.0,False,0.0,57.0,2.0,7181
895.0,3.0,152.0,False,0.0,False,0.0,445.0,3.0,9960
850.0,1.0,104.0,True,8.0,False,0.0,78.0,2.0,9500
3500.0,6.0,226.0,True,12.0,True,40.0,153.0,2.0,1180
450.0,4.0,280.0,True,25.0,True,60.0,540.0,4.0,4728
1950.0,2.0,90.0,True,45.0,False,0.0,100.0,2.0,1150
1300.0,4.0,170.0,True,20.0,False,0.0,130.0,2.0,5100
675.0,2.0,71.0,False,0.0,False,0.0,436.0,3.0,5300
2800.0,4.0,200.0,True,15.0,True,250.0,383.0,4.0,1150
3600.0,5.0,230.0,True,20.0,False,0.0,500.0,4.0,3080
1100.0,3.0,145.0,False,0.0,True,215.0,319.0,2.0,2840
2750.0,4.0,332.0,True,15.0,True,80.0,241.0,2.0,1040
799000.0,4.0,336.0,False,0.0,False,0.0,181.0,2.0,9200
556900.0,3.0,174.0,False,0.0,False,0.0,566.0,3.0,3080
335000.0,4.0,265.0,True,12.0,False,0.0,110.0,2.0,6200
1500.0,7.0,520.0,True,200.0,True,19000.0,20000.0,4.0,1342
295000.0,3.0,240.0,False,0.0,True,1032.0,1154.0,3.0,5370
