Unnamed: 0,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type,price_per_sq_m,region
10276939,True,False,1200.0,3.0,130.0,True,False,False,False,0.0,True,990.0,990.0,990.0,4.0,False,Excellentétat,9850,Villa,1.2121212121212122,Flanders
10276940,True,False,1200.0,3.0,130.0,True,False,False,False,0.0,True,990.0,990.0,990.0,4.0,False,Excellentétat,9850,Villa,1.2121212121212122,Flanders
10277129,True,False,2395.0,4.0,200.0,True,False,False,True,15.0,True,500.0,700.0,700.0,3.0,False,Excellentétat,3080,Maison,3.4214285714285713,Flanders
10277147,True,False,800.0,3.0,120.0,True,False,False,False,0.0,False,0.0,20.0,20.0,3.0,False,Fraîchementrénové,4910,Maison,40.0,Wallonia
10277167,True,False,1950.0,4.0,235.0,True,True,False,False,0.0,True,950.0,950.0,950.0,4.0,False,Bon,8300,Maison,2.0526315789473686,Brussels
10277197,True,False,1050.0,3.0,206.0,True,False,False,False,0.0,True,200.0,512.0,512.0,3.0,False,Bon,2980,Maison,2.05078125,Flanders
10277327,True,False,1450.0,3.0,115.0,True,False,False,True,43.0,False,0.0,800.0,800.0,3.0,False,Bon,1301,Maison,1.8125,Brussels
10277523,True,False,910.0,2.0,97.0,True,False,False,False,0.0,True,28.0,125.0,125.0,4.0,False,Bon,2950,Maison,7.28,Flanders
10277760,True,False,1560.0,4.0,120.0,True,True,False,True,20.0,False,0.0,185.0,185.0,2.0,False,Fraîchementrénové,6000,Maison,8.432432432432432,Wallonia
10277831,True,False,2690.0,3.0,165.0,True,True,False,True,12.0,False,0.0,150.0,150.0,3.0,True,Excellentétat,1180,Bienexceptionnel,17.933333333333334,Brussels
10277930,True,False,1950.0,5.0,231.0,True,False,False,True,12.0,False,0.0,409.0,409.0,3.0,False,Excellentétat,1910,Maison,4.767726161369193,Brussels
10277939,True,False,895.0,4.0,179.0,True,False,False,True,14.0,False,0.0,150.0,150.0,2.0,False,Bon,6870,Maison,5.966666666666667,Wallonia
10277947,True,False,1300.0,4.0,275.0,True,False,False,True,30.0,True,300.0,95.0,95.0,4.0,False,Bon,9160,Maison,13.68421052631579,Flanders
